Parent,ID,Generations,Start,Split,Lifespan,Parent,ID,Valid,Left Frame,Generation,C.Start,C.Split,C.Lifespan,,Notes,Rate,progeny.id,progeny.events,population.time,progeny.mle,,,,,,,,
,,,,,,l114,l167,T,0,,452,549,9.7,,,,126,,,,,,,,,,,
,,,,,,l114,r168,T,0,,452,549,9.7,,,,126,,,,,,,,,,,
,,,,,,166,r115,T,0,,288,457,16.9,,daughters last thru EOM,,126,,,,,,,,,,,
,,,,,,r115,l170,T,0,,457,549,9.2,,,,126,,,,,,,,,,,
,,,,,,r115,r171,T,0,,457,549,9.2,,,,126,,,,,,,,,,,
344,722,3,1416,1758,5.7,344,722,F,0,,236,293,5.7,,X illegitimate,0.121604769,126,NA,NA,NA,,,,,,,,
2573,977,3,1464,2910,24.1,2573,977,F,0,,244,485,24.1,,X illegitimate,0.028761294,126,NA,NA,NA,,,,,,,,
85,2291,3,840,1068,3.8,85,2291,T,0,2,140,269,12.9,,X Actually split in fr269; Blobmerge with '693',0.182407153,126,NA,NA,NA,,,,,,,,
,,,,,,2291,lb119,T,0,,269,423,15.4,,daughters last thru EOM,,126,,,,,,,,,,,
,,,,,,lb119,l176,T,0,,423,549,12.6,,,,126,,,,,,,,,,,
,,,,,,lb119,r177,T,0,,423,549,12.6,,,,126,,,,,,,,,,,
,,,,,,2291,rt120,T,0,,269,473,20.4,,daughters last thru EOM,,126,,,,,,,,,,,
,,,,,,rt120,l179,T,0,,473,549,7.6,,,,126,,,,,,,,,,,
,,,,,,rt120,r180,T,0,,473,549,7.6,,,,126,,,,,,,,,,,
344,2573,3,1416,1464,0.8,344,2573,F,0,,236,244,0.8,,X illegitimate,0.866433976,126,NA,NA,NA,,,,,,,,
2573,2574,3,1464,1926,7.7,2573,2574,F,0,,244,321,7.7,,X illegitimate,0.090019114,126,NA,NA,NA,,,,,,,,
722,578,4,1764,2040,4.6,722,578,F,0,,294,340,4.6,,X illegitimate,0.15068417,126,NA,NA,NA,,,,,,,,
722,2518,4,1764,2634,14.5,722,2518,F,0,,294,439,14.5,,X illegitimate,0.047803254,126,NA,NA,NA,,,,,,,,
578,1019,5,2046,2070,0.4,578,1019,F,0,,341,345,0.4,,X illegitimate,1.732867951,126,NA,NA,NA,,,,,,,,
578,2685,5,2046,2196,2.5,578,2685,F,0,,341,366,2.5,,X illegitimate,0.277258872,126,NA,NA,NA,,,,,,,,
1019,804,6,2076,2460,6.4,1019,804,F,0,,346,410,6.4,,X illegitimate,0.108304247,126,NA,NA,NA,,,,,,,,
2601,1738,6,2352,2508,2.6,2601,1738,F,0,,392,418,2.6,,X illegitimate,0.266595069,126,NA,NA,NA,,,,,,,,
1019,2601,6,2076,2352,4.6,1019,2601,F,0,,346,392,4.6,,X illegitimate,0.15068417,126,NA,NA,NA,,,,,,,,
2601,2602,6,2352,2880,8.8,2601,2602,F,0,,392,480,8.8,,X illegitimate,0.078766725,126,NA,NA,NA,,,,,,,,
1738,1795,7,2514,3294,13,1738,1795,F,0,,419,549,13,,X illegitimate,0.053319014,126,NA,NA,NA,,,,,,,,
1738,2895,7,2514,3294,13,1738,2895,F,0,,419,549,13,,X illegitimate,0.053319014,126,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,301,1,18,474,7.6,0,301,T,0,0,3,79,7.6,,,0.091203576,301,7,101,0.069306931,,,,,,,,
301,95,2,480,1002,8.7,301,95,T,0,1,80,203,12.3,,"X Invalid; actually splits in fr203; faint, so simply lost by auto track; relabelled as '359,' but its split is still missed",0.07967209,301,NA,NA,NA,,,,,,,,
,,,,,,95,l136,T,0,,203,352,14.9,,daughters last thru EOM,,301,,,,,,,,,,,
,,,,,,l136,l197,T,0,,353,549,19.6,,,,301,,,,,,,,,,,
,,,,,,l136,r198,T,0,,353,549,19.6,,,,301,,,,,,,,,,,
,,,,,,95,r137,T,0,,203,330,12.7,,daughters last thru EOM,,301,,,,,,,,,,,
,,,,,,r137,l200,T,0,,331,549,21.8,,,,301,,,,,,,,,,,
,,,,,,r137,r201,T,0,,331,549,21.8,,,,301,,,,,,,,,,,
2253,364,2,1182,1482,5,2253,364,T,0,2,197,346,14.9,,"X Invalid; actually splits in fr346; auto claims it splits, labels as '2439'; daughters last thru EOM",0.138629436,301,NA,NA,NA,,,,,,,,
,,,,,,364,l215,T,0,,347,549,20.2,,,,301,,,,,,,,,,,
,,,,,,364,r216,T,0,,347,549,20.2,,,,301,,,,,,,,,,,
301,2253,2,480,1182,11.7,301,2253,T,0,1,80,197,11.7,,valid,0.059243349,301,NA,NA,NA,,,,,,,,
2253,2254,2,1182,1794,10.2,2253,2254,T,0,2,197,330,13.3,,"X Invalid; actually splits in fr330; too faint, so simply lost by autotrack; daughters last thru EOM",0.067955606,301,NA,NA,NA,,,,,,,,
,,,,,,2254,l219,T,0,,331,549,21.8,,,,301,,,,,,,,,,,
,,,,,,2254,r220,T,0,,331,549,21.8,,,,301,,,,,,,,,,,
364,391,3,1488,1902,6.9,364,391,F,0,,248,317,6.9,,X illegitimate,0.100456113,301,NA,NA,NA,,,,,,,,
2439,1009,3,1938,2082,2.4,2439,1009,F,0,,323,347,2.4,,X illegitimate,0.288811325,301,NA,NA,NA,,,,,,,,
364,2439,3,1488,1938,7.5,364,2439,F,0,,248,323,7.5,,X illegitimate,0.092419624,301,NA,NA,NA,,,,,,,,
2439,2440,3,1938,2040,1.7,2439,2440,F,0,,323,340,1.7,,X illegitimate,0.407733636,301,NA,NA,NA,,,,,,,,
1009,653,4,2088,2196,1.8,1009,653,F,0,,348,366,1.8,,X illegitimate,0.385081767,301,NA,NA,NA,,,,,,,,
1009,2532,4,2088,2922,13.9,1009,2532,F,0,,348,487,13.9,,X illegitimate,0.049866704,301,NA,NA,NA,,,,,,,,
2620,851,5,2238,2448,3.5,2620,851,F,0,,373,408,3.5,,X illegitimate,0.198042052,301,NA,NA,NA,,,,,,,,
653,1693,5,2202,3294,18.2,653,1693,F,0,,367,549,18.2,,X illegitimate,0.03808501,301,NA,NA,NA,,,,,,,,
653,2620,5,2202,2238,0.6,653,2620,F,0,,367,373,0.6,,X illegitimate,1.155245301,301,NA,NA,NA,,,,,,,,
2620,2621,5,2238,2316,1.3,2620,2621,F,0,,373,386,1.3,,X illegitimate,0.533190139,301,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,1493,1,18,498,8,0,1493,T,0,0,3,83,8,,,0.086643398,1493,4,144.9,0.027605245,,,,,,,,
1493,97,2,504,1032,8.8,1493,97,T,0,1,84,257,17.3,,X Invalid; actually splits in fr258; randomly relabelled as 1545,0.078766725,1493,NA,NA,NA,,,,,,,,
2255,1558,2,1278,3294,33.6,2255,1558,T,0,,213,505,29.2,,X Corrected; actually splits in fr505; daughters last thru EOM,0.02062938,1493,NA,NA,NA,,,,,,,,
,,,,,,1558,l235,T,0,,506,549,4.3,,,,1493,,,,,,,,,,,
