Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,295,B,458,A,,,,,29.5,16.3,N,
,296,B,413,B,,,,,29.6,11.7,N,
,296,B,414,E,,,,,29.6,11.8,N,
,296,A,574,A,,,,,29.6,27.8,N,
,297,D,436,A,,,,,29.7,13.9,N,
,297,D,441,A,,,,,29.7,14.4,N,
,297,B,497,A,,,,,29.7,20,N,
,297,C,499,B,,,,,29.7,20.2,N,
,297,B,515,A,,,,,29.7,21.8,N,
,297,C,536,B,,,,,29.7,23.9,N,
,297,A,794,A,,,,,29.7,49.7,N,
,298,B,456,A,,,,,29.8,15.8,N,
,298,B,457,A,,,,,29.8,15.9,N,
,298,A,733,A,,,,,29.8,43.5,N,
,299,C,414,F,,,,,29.9,11.5,N,
,299,C,415,E,,,,,29.9,11.6,N,
,299,A,478,D,,,,,29.9,17.9,N,
,299,B,849,A,,,,,29.9,55,N,
,303,A,452,A,,,,,30.3,14.9,N,
,303,A,472,E,,,,,30.3,16.9,N,
,304,A,544,A,,,,,30.4,24,N,
,304,A,567,A,,,,,30.4,26.3,N,
,305,A,418,E,,,,,30.5,11.3,N,
,305,A,429,A,,,,,30.5,12.4,N,
,305,B,457,B,,,,,30.5,15.2,N,
,305,B,469,A,,,,,30.5,16.4,N,
,307,A,439,A,,,,,30.7,13.2,N,
,307,A,448,A,,,,,30.7,14.1,N,
,307,B,767,A,,,,,30.7,46,N,
,308,C,449,A,,,,,30.8,14.1,N,
,308,C,454,C,,,,,30.8,14.6,N,
,308,B,472,D,,,,,30.8,16.4,N,
,308,B,542,A,,,,,30.8,23.4,N,
,308,A,568,A,,,,,30.8,26,N,
,308,A,678,A,,,,,30.8,37,N,
,309,B,486,B,,,,,30.9,17.7,N,
,309,A,500,B,,,,,30.9,19.1,N,
,309,B,512,A,,,,,30.9,20.3,N,
,309,A,604,A,,,,,30.9,29.5,N,
,311,C,422,C,,,,,31.1,11.1,N,
,311,C,433,B,,,,,31.1,12.2,N,
,311,A,446,B,,,,,31.1,13.5,N,
,311,B,447,E,,,,,31.1,13.6,N,
,311,A,460,B,,,,,31.1,14.9,N,
,311,B,538,A,,,,,31.1,22.7,N,
,312,A,645,A,,,,,31.2,33.3,N,
,312,A,754,A,,,,,31.2,44.2,N,
,313,A,509,B,,,,,31.3,19.6,N,
,313,A,533,A,,,,,31.3,22,N,
,314,A,454,D,,,,,31.4,14,N,
,315,B,439,B,,,,,31.5,12.4,N,
,315,B,453,A,,,,,31.5,13.8,N,
,316,C,445,D,,,,,31.6,12.9,N,
,316,B,454,C,,,,,31.6,13.8,N,
,316,C,458,C,,,,,31.6,14.2,N,
,316,B,473,A,,,,,31.6,15.7,N,
,317,A,432,A,,,,,31.7,11.5,N,
,317,A,446,A,,,,,31.7,12.9,N,
,318,B,555,A,,,,,31.8,23.7,N,
,318,B,745,A,,,,,31.8,42.7,N,
,318,C,824,A,,,,,31.8,50.6,N,
,319,A,455,C,,,,,31.9,13.6,N,
,319,A,458,B,,,,,31.9,13.9,N,
,320,A,447,D,,,,,32,12.7,N,
,320,A,447,C,,,,,32,12.7,N,
,321,A,448,A,,,,,32.1,12.7,N,
,321,A,463,C,,,,,32.1,14.2,N,
,322,A,478,C,,,,,32.2,15.6,N,
,322,A,483,A,,,,,32.2,16.1,N,
,324,A,450,A,,,,,32.4,12.6,N,
,324,A,475,E,,,,,32.4,15.1,N,
,324,C,582,A,,,,,32.4,25.8,N,
,324,C,613,A,,,,,32.4,28.9,N,
,325,C,484,A,,,,,32.5,15.9,N,
,325,C,532,A,,,,,32.5,20.7,N,
,328,B,463,B,,,,,32.8,13.5,N,
,328,B,472,C,,,,,32.8,14.4,N,
,328,A,521,B,,,,,32.8,19.3,N,
,328,A,594,A,,,,,32.8,26.6,N,
,329,A,616,A,,,,,32.9,28.7,N,
,329,A,726,A,,,,,32.9,39.7,N,
,330,A,529,A,,,,,33,19.9,N,
,330,A,672,A,,,,,33,34.2,N,
,331,A,509,C,,,,,33.1,17.8,N,
,331,A,536,C,,,,,33.1,20.5,N,
,332,A,455,B,,,,,33.2,12.3,N,
,332,A,455,A,,,,,33.2,12.3,N,
,333,A,463,A,,,,,33.3,13,N,
,333,A,473,A,,,,,33.3,14,N,
,334,A,470,A,,,,,33.4,13.6,N,
,334,A,495,A,,,,,33.4,16.1,N,
,337,A,475,D,,,,,33.7,13.8,N,
,337,A,475,B,,,,,33.7,13.8,N,
,337,B,802,A,,,,,33.7,46.5,N,
,338,B,482,A,,,,,33.8,14.4,N,
,338,B,491,C,,,,,33.8,15.3,N,
,339,A,491,B,,,,,33.9,15.2,N,
,339,A,493,D,,,,,33.9,15.4,N,
,340,A,475,A,,,,,34,13.5,N,
,340,A,493,C,,,,,34,15.3,N,
,341,A,481,D,,,,,34.1,14,N,
,341,A,481,C,,,,,34.1,14,N,
,342,A,459,B,,,,,34.2,11.7,N,
,342,B,486,A,,,,,34.2,14.4,N,
,342,B,520,A,,,,,34.2,17.8,N,
,342,A,521,A,,,,,34.2,17.9,N,
,343,C,493,B,,,,,34.3,15,N,
,343,B,539,A,,,,,34.3,19.6,N,
,343,C,548,B,,,,,34.3,20.5,N,
,343,B,632,A,,,,,34.3,28.9,N,
,345,A,466,B,,,,,34.5,12.1,N,
,345,A,481,B,,,,,34.5,13.6,N,
,345,C,496,A,,,,,34.5,15.1,N,
,345,B,584,A,,,,,34.5,23.9,N,
,345,B,598,A,,,,,34.5,25.3,N,
,345,C,638,A,,,,,34.5,29.3,N,
,347,A,524,A,,,,,34.7,17.7,N,
,348,A,509,B,,,,,34.8,16.1,N,
,348,A,531,A,,,,,34.8,18.3,N,
,349,A,509,A,,,,,34.9,16,N,
,349,A,572,A,,,,,34.9,22.3,N,
,350,A,634,A,,,,,35,28.4,N,
,184,A,861,,Y,,,,18.4,67.7,Y,
,226,A,861,,Y,,,,22.6,63.5,Y,
,228,A,861,,Y,,,,22.8,63.3,Y,
,228,A,861,,Y,,,,22.8,63.3,Y,
,263,C,861,,Y,,,,26.3,59.8,Y,
,263,C,861,,Y,,,,26.3,59.8,Y,
,266,A,861,,Y,,,,26.6,59.5,Y,
,275,A,861,,Y,,,,27.5,58.6,Y,
,277,A,861,,Y,,,,27.7,58.4,Y,
,281,A,861,,Y,,Y,not sure what happened to it around 680,28.1,58,Y,
,281,A,861,,Y,,,,28.1,58,Y,
,289,B,861,,Y,,,,28.9,57.2,Y,
,289,B,861,,Y,,,,28.9,57.2,Y,
,292,A,861,,Y,,,,29.2,56.9,Y,
,292,A,861,,Y,,,,29.2,56.9,Y,
,294,C,861,,Y,,,,29.4,56.7,Y,
,295,A,861,,Y,,,,29.5,56.6,Y,
,295,A,861,,Y,,,,29.5,56.6,Y,
,296,A,861,,Y,,,,29.6,56.5,Y,
,298,A,861,,Y,,,,29.8,56.3,Y,
,298,C,861,,Y,,,,29.8,56.3,Y,
,299,B,861,,Y,,,,29.9,56.2,Y,
,307,B,861,,Y,,,,30.7,55.4,Y,
,315,A,861,,Y,,,,31.5,54.6,Y,
,315,A,861,,Y,,,,31.5,54.6,Y,
,318,C,861,,Y,,,,31.8,54.3,Y,
,321,B,861,,Y,,,,32.1,54,Y,
,324,B,861,,Y,,,,32.4,53.7,Y,
,324,B,861,,Y,,,,32.4,53.7,Y,
,325,A,861,,Y,,,,32.5,53.6,Y,
,325,A,861,,Y,,,,32.5,53.6,Y,
,329,B,861,,Y,,,,32.9,53.2,Y,
,329,B,861,,Y,,,,32.9,53.2,Y,
,337,B,861,,Y,,,,33.7,52.4,Y,
,338,A,861,,Y,,,,33.8,52.3,Y,
,338,A,861,,Y,,,,33.8,52.3,Y,
,341,B,861,,Y,,,,34.1,52,Y,
,341,B,861,,Y,,,,34.1,52,Y,
,343,A,861,,Y,,,,34.3,51.8,Y,
,343,A,861,,Y,,,,34.3,51.8,Y,
,350,A,861,,Y,,,,35,51.1,Y,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,76,A,,,,137,,,7.6,,N,
,104,A,,,,263,,,10.4,,N,
,122,A,,,,270,,,12.2,,N,
,158,A,,,,365,,,15.8,,N,
,209,A,,,,286,,,20.9,,N,
,212,B,,,,355,,,21.2,,N,
,212,B,,,,393,,,21.2,,N,
,213,C,,,,319,,,21.3,,N,
,218,A,,,,225,,,21.8,,N,
,219,A,,,,232,,,21.9,,N,
,226,A,,,,342,,,22.6,,N,
,237,A,,,,319,,,23.7,,N,
,237,A,,,,374,,,23.7,,N,
,240,A,,,,254,,,24,,N,
,240,A,,,,261,,,24,,N,
,240,B,,,,393,,,24,,N,
